Experiment,time(min),Input 1 Pre,Input 2 Pre,Input 1,Input 2,Observable 1 mean,Observable 1 sd,Observable 2 mean,Observable 2 sd,Observable 3 mean,Observable 3 sd,Observable 4 mean,Observable 4 sd
1,215,1.00E-07,100,1.00E-07,100,9.36E-08,9.56E-09,39.48,3.9293,2481.1,276.99,130.93,13.407
1,220,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,32.909,3.9293,2542.7,276.99,134.9,13.407
1,225,1.00E-07,100,1.00E-07,100,9.55E-08,9.56E-09,42.012,3.9293,2883.8,276.99,132.31,13.407
1,230,1.00E-07,100,1.00E-07,100,8.75E-08,9.56E-09,39.813,3.9293,2649.9,276.99,132.95,13.407
1,235,1.00E-07,100,1.00E-07,100,9.62E-08,9.56E-09,39.787,3.9293,2466.2,276.99,146.99,13.407
1,240,1.00E-07,100,1.00E-07,100,1.09E-07,9.56E-09,45.368,3.9293,3152.2,276.99,133.67,13.407
1,245,1.00E-07,100,1.00E-07,100,7.39E-08,9.56E-09,36.514,3.9293,2172.1,276.99,134.52,13.407
1,250,1.00E-07,100,1.00E-07,100,9.29E-08,9.56E-09,33.714,3.9293,2933.9,276.99,127.38,13.407
1,255,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,43.299,3.9293,2568.1,276.99,114.41,13.407
1,260,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,42.982,3.9293,3029,276.99,141.25,13.407
1,265,1.00E-07,100,1.00E-07,100,9.75E-08,9.56E-09,42.917,3.9293,3077,276.99,134.97,13.407
1,270,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,35.752,3.9293,2741.1,276.99,144.12,13.407
1,275,1.00E-07,100,1.00E-07,100,9.03E-08,9.56E-09,39.532,3.9293,2657.9,276.99,139.03,13.407
1,280,1.00E-07,100,1.00E-07,100,9.59E-08,9.56E-09,43.09,3.9293,2831.3,276.99,141.13,13.407
1,285,1.00E-07,100,1.00E-07,100,9.88E-08,9.56E-09,40.757,3.9293,2539.2,276.99,114.7,13.407
1,290,1.00E-07,100,1.00E-07,100,8.35E-08,9.56E-09,29.634,3.9293,2738.4,276.99,120.15,13.407
1,295,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,42.609,3.9293,3309.3,276.99,125.66,13.407
1,300,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,40.243,3.9293,2734.3,276.99,121.53,13.407
1,305,1.00E-07,100,1.00E-07,100,1.10E-07,9.56E-09,45.829,3.9293,2837.3,276.99,154.07,13.407
1,310,1.00E-07,100,1.00E-07,100,9.27E-08,9.56E-09,40.884,3.9293,2500.4,276.99,123.38,13.407
1,315,1.00E-07,100,1.00E-07,100,9.22E-08,9.56E-09,39.55,3.9293,3440.8,276.99,140.84,13.407
1,320,1.00E-07,100,1.00E-07,100,8.17E-08,9.56E-09,42.802,3.9293,2619.4,276.99,142.73,13.407
1,325,1.00E-07,100,1.00E-07,100,8.59E-08,9.56E-09,42.441,3.9293,2806.2,276.99,119.61,13.407
1,330,1.00E-07,100,1.00E-07,100,8.42E-08,9.56E-09,43.524,3.9293,2530.2,276.99,142.58,13.407
1,335,1.00E-07,100,1.00E-07,100,9.11E-08,9.56E-09,44.194,3.9293,2636.8,276.99,130.76,13.407
1,340,1.00E-07,100,1.00E-07,100,7.12E-08,9.56E-09,38.171,3.9293,2678,276.99,147.35,13.407
1,345,1.00E-07,100,1.00E-07,100,9.34E-08,9.56E-09,45.049,3.9293,2448.3,276.99,137.53,13.407
1,350,1.00E-07,100,1.00E-07,100,9.95E-08,9.56E-09,39.148,3.9293,2628.2,276.99,142.5,13.407
1,355,1.00E-07,100,1.00E-07,100,1.08E-07,9.56E-09,35.789,3.9293,2712.8,276.99,131.05,13.407
1,360,1.00E-07,100,1.00E-07,100,1.26E-07,9.56E-09,41.149,3.9293,2652.1,276.99,136.26,13.407
1,365,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,35.67,3.9293,3018.3,276.99,154.21,13.407
1,370,1.00E-07,100,1.00E-07,100,8.68E-08,9.56E-09,43.851,3.9293,3060.9,276.99,114.16,13.407
1,375,1.00E-07,100,1.00E-07,100,1.04E-07,9.56E-09,38.241,3.9293,2723,276.99,133.76,13.407
1,380,1.00E-07,100,1.00E-07,100,8.63E-08,9.56E-09,36.955,3.9293,3130.5,276.99,131.06,13.407
1,385,1.00E-07,100,1.00E-07,100,9.48E-08,9.56E-09,39.919,3.9293,2638.6,276.99,130.25,13.407
1,390,1.00E-07,100,1.00E-07,100,9.89E-08,9.56E-09,44.39,3.9293,2434.3,276.99,126.49,13.407
1,395,1.00E-07,100,1.00E-07,100,9.26E-08,9.56E-09,37.017,3.9293,2905.6,276.99,124.42,13.407
