Experiment,Time,TR_U,READOUT_OBS1,READOUT_OBS2,READOUT_OBS3,READOUT_OBS4,READOUT_OBS5,STD_OBS1,STD_OBS2,STD_OBS3,STD_OBS4,STD_OBS5
1,0,1,0.0408570120579629,0.335293918445899,0.0140711264992885,0.0105444774423398,0.0117006028343573,0.00450014494856227,0.0382852728621012,0.00123122758942754,0.00102011212292303,0.00137909582325595
1,5,1,0.0385819681464876,0.353095844575933,0.0474673957865556,0.0132866181909194,0.0331856300591775,0.00436099024353292,0.038187559600622,0.00489970361923588,0.00122995022682872,0.00375568743309321
1,10,0,0.0367783061995628,0.405347864397335,0.0485192307027356,0.0147723309514754,0.0743402423318705,0.00402393057514215,0.0374558305989617,0.00534512378595905,0.0014716389107176,0.00785938368470619
1,15,0,0.0365984243361631,0.305664838918371,0.0152543032230666,0.0122334869355501,0.0672607870894763,0.00368612402288951,0.0359097322984114,0.00173037837017374,0.00142606087041626,0.00762513074539906
1,20,0,0.0337116902731489,0.3494455172699,0.0157917788721198,0.0120856970886406,0.0559353165996535,0.00339780783035852,0.0337096507425279,0.00129097525427676,0.00128461779423639,0.00627492151612692
1,25,0,0.0308749418185212,0.32542661032329,0.0118025473526435,0.0100817891662072,0.0535484529733427,0.00315973534485515,0.0311061123144128,0.00123675298531695,0.00118397022940285,0.00519467873960942
1,30,0,0.0312267165302327,0.269642531672946,0.0138329033892127,0.0119342496229926,0.0404350767070985,0.00296956092953517,0.0283414620339227,0.00122873455309917,0.00112051355634166,0.00435071655020198
1,35,0,0.0269490445894878,0.269306488604632,0.0115874059580419,0.0101975865014757,0.0351009929058688,0.00282478918191674,0.0256177576344742,0.00122546474689413,0.00108126501566794,0.00369291753872514
1,40,0,0.0308547553510363,0.194193208547484,0.0131904258414851,0.0106787287090792,0.0311495954764662,0.00272268188841748,0.0230838228838932,0.0012215079778331,0.00105693129496819,0.00318023319544898
1,45,0,0.0276289206833647,0.230253134328142,0.0118776644978064,0.00958654508711972,0.0282968445083388,0.0026601028964848,0.0208372219295183,0.00121575890026481,0.00104162032698679,0.00278041761664838
1,50,0,0.0305752269876463,0.175790358231222,0.0135670883024208,0.0110310548494177,0.0273641922018875,0.00263343191176044,0.0189342523276037,0.00120778607166628,0.00103166592640969,0.00246828683706941
1,55,0,0.0210778560205687,0.191115799126597,0.0125184860506931,0.0120502372043395,0.0212804634714308,0.00263858019320312,0.0174017336686205,0.00119768045327148,0.00102480822400473,0.0022242200714898
1,60,1,0.0258402349523772,0.139562002861176,0.0118922410160303,0.0105985546917232,0.0203523337860618,0.00267110153374042,0.0162470082969705,0.00118634858955077,0.00101970512485157,0.00203300334676213
1,65,1,0.0285090063279194,0.17408040614304,0.0513030193552909,0.0113078235508108,0.0440502829154005,0.0026438665419491,0.0153937292043038,0.00489417227616992,0.00122829864156748,0.00424401927583591
1,70,0,0.0260898084402618,0.149490396207322,0.0553021868499343,0.015005511903484,0.0922537323421652,0.00247685896655289,0.014403162877489,0.00534435238027269,0.0014704529768539,0.00823624390987457
1,75,0,0.0220326054706972,0.143598352197999,0.0145427609797342,0.0135414653420425,0.07730208403286,0.00229722865080075,0.0131523199713145,0.00164717223059316,0.00142090573748023,0.00787867581875372
1,80,0,0.0230338975737787,0.116489126257859,0.0122009879041117,0.0152039886113277,0.0553755565395505,0.00215074110014503,0.011791311631374,0.00116570899039881,0.00127269248578177,0.00645580677195594
1,85,0,0.0174991472066213,0.101739498984781,0.010702961881868,0.0112797276910201,0.0538621754602655,0.00203959767537497,0.0104599230432001,0.00106216234774388,0.00116414833400064,0.00532053593706013
1,90,0,0.0182353378658496,0.0829121642760467,0.00952400051816036,0.0106204807666887,0.0485399610763325,0.00196322938816599,0.00924251171820404,0.000995408334050644,0.00109130227527146,0.00443060726392898
1,95,0,0.0162336644921954,0.0787735583709731,0.00963744286936536,0.0108994594349929,0.0379892871312041,0.00192092901095576,0.00818506910307794,0.000931811444040021,0.00104128226192121,0.00373360171051666
1,100,0,0.0200634575932566,0.0792259873331626,0.00953806911685077,0.00732835050633531,0.0291143407120448,0.00191172689879629,0.00731061041026239,0.000875782436728006,0.00100564536868188,0.0031877706900873
